Product Category;Product Name;Review Date;Review Text;Sentiment;Marketplace;Username;review_text_id;Topic_r;Review;Measure_types;measure_counts;Count
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-06 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Аромат и вкус средний, а заваривать удобно и быстро.;Negative;Ozon;tasty_coffee;621;{'Вкус', 'Аромат', 'Удобство', 'Время приготовления'}; Название вкуса: Бэрри Аромат и вкус средний, а заваривать удобно и быстро.;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-06 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Кофе вкусный,с лёгкой кислинкой, ароматный. Удобно заваривать в чашке. Рекомендую;Positive;Ozon;tasty_coffee;638;{'Вкус', 'Аромат', 'Удобство', 'Общая удовлетворенность'}; Название вкуса: Бэрри Кофе вкусный,с лёгкой кислинкой, ароматный. Удобно заваривать в чашке. Рекомендую;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-06 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: БэрриКрепость:НормальныйВкус:НормальныйАроматность:Ароматный Кофе очень вкусный, беру второй раз. Горечи нет, кислотность низкая, не крепкий.  Заваривать очень удоб;Positive;Ozon;tasty_coffee;737;{'Общая удовлетворенность', 'Крепость кофе', 'Вкус', 'Удобство', 'Послевкусие'}; Название вкуса: БэрриКрепость:НормальныйВкус:НормальныйАроматность:Ароматный Кофе очень вкусный, беру второй раз. Горечи нет, кислотность низкая, не крепкий.  Заваривать очень удоб;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-05 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: БэрриКрепость:НормальныйАроматность:АроматныйВкус:Насыщенный Очень вкусно с молоком;Positive;Ozon;tasty_coffee;727;{'Вкус', 'Общая удовлетворенность'}; Название вкуса: БэрриКрепость:НормальныйАроматность:АроматныйВкус:Насыщенный Очень вкусно с молоком;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-05 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: БэрриКрепость:КрепкийАроматность:НормальныйВкус:Насыщенный Беру 20й раз. Кофе супер! Из дрип пакетов самы крепкий!;Positive;Ozon;tasty_coffee;711;{'Вкус', 'Общая удовлетворенность', 'Крепость кофе'}; Название вкуса: БэрриКрепость:КрепкийАроматность:НормальныйВкус:Насыщенный Беру 20й раз. Кофе супер! Из дрип пакетов самы крепкий!;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-05 21:00:00;"Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Тести кофе лучший!!!
Покупаю в зерне и молотый, в дорогу взяла дрип пакеты, растворимый никак не заходит😊";Positive;Ozon;tasty_coffee;665;{'Вкус', 'Удобство', 'Общая удовлетворенность'};" Название вкуса: Бэрри Тести кофе лучший!!!
Покупаю в зерне и молотый, в дорогу взяла дрип пакеты, растворимый никак не заходит😊";Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-03 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Кофе отличный вкус особенно на работе, когда хочется попить свежезаваренный, самое то что над;Positive;Ozon;tasty_coffee;640;{'Вкус', 'Свежесть', 'Удобство', 'Общая удовлетворенность'}; Название вкуса: Бэрри Кофе отличный вкус особенно на работе, когда хочется попить свежезаваренный, самое то что над;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-02 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Самый любимый кофе, просто бомбический вкус, сбалансированный, нежный. Я в восторге!;Positive;Ozon;tasty_coffee;663;{'Вкус', 'Общая удовлетворенность'}; Название вкуса: Бэрри Самый любимый кофе, просто бомбический вкус, сбалансированный, нежный. Я в восторге!;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-04 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Все пришло в срок, в целом нормально, но на мой вкус кисловат;Negative;Ozon;tasty_coffee;631;{'Вкус', 'Общая удовлетворенность'}; Название вкуса: Бэрри Все пришло в срок, в целом нормально, но на мой вкус кисловат;Число пакетиков:;10;10
Кофе;Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;2024-08-04 21:00:00;Число пакетиков: 10, Единиц в одном товаре: 10, Название вкуса: Бэрри Кофе вкуууусный!;Positive;Ozon;tasty_coffee;639;{'Вкус'}; Название вкуса: Бэрри Кофе вкуууусный!;Число пакетиков:;10;10
